metric,model,method,avg
accuracy,bert,UA,85.2
accuracy,bert,UA + MC,84.89
accuracy,bert,mc20,84.81
accuracy,bert,mc5,84.78
accuracy,bert,temp_scale,84.99
accuracy,bert,vanilla,84.99
accuracy,distilbert,UA,83.84
accuracy,distilbert,UA + MC,83.43
accuracy,distilbert,mc20,83.63
accuracy,distilbert,mc5,83.53
accuracy,distilbert,temp_scale,83.82
accuracy,distilbert,vanilla,83.82
ece,bert,UA,4.1
ece,bert,UA + MC,3.42
ece,bert,mc20,3.39
ece,bert,mc5,3.41
ece,bert,temp_scale,2.92
ece,bert,vanilla,4.3
ece,distilbert,UA,3.67
ece,distilbert,UA + MC,2.95
ece,distilbert,mc20,2.75
ece,distilbert,mc5,2.73
ece,distilbert,temp_scale,2.17
ece,distilbert,vanilla,3.37
